effect,group,term,estimate,std.error,statistic,p.value,Repeat
fixed,NA,(Intercept),-0.10648948142804193,0.1389652458098834,-0.7663029760241553,0.4434960479504641,17
fixed,NA,categorythe Others,-0.1733239227004822,0.08049994982311617,-2.1530935495156163,0.03131132711138921,17
ran_pars,participant_name,sd__(Intercept),0.7261853443060502,NA,NA,NA,17
fixed,NA,(Intercept),-0.19565057486032938,0.1325248577725989,-1.4763311438224571,0.13985501739528444,18
fixed,NA,categorythe Others,-0.01965123172925222,0.07973600556570419,-0.2464536766023372,0.8053310593448849,18
ran_pars,participant_name,sd__(Intercept),0.6795218585952345,NA,NA,NA,18
fixed,NA,(Intercept),-0.2724060932938036,0.14005232111656354,-1.9450309078925148,0.0517712584807901,19
fixed,NA,categorythe Others,0.04853365933223856,0.08057192965811441,0.6023643660785867,0.5469316242238038,19
ran_pars,participant_name,sd__(Intercept),0.7338050961465109,NA,NA,NA,19
fixed,NA,(Intercept),-0.3951227996948562,0.14206811363359148,-2.781220849556145,0.0054154882286332195,20
fixed,NA,categorythe Others,0.1620064558287459,0.08135555934580892,1.9913384792810938,0.04644368779473716,20
ran_pars,participant_name,sd__(Intercept),0.7457390888048139,NA,NA,NA,20
